authorId,name
2250493632,M. Kanehisa
3222501,Miho Furumichi
46657535,Yoko Sato
2326291163,Yuriko Matsuura
2007599656,Mari Ishiguro-Watanabe
1687989,R. Elmasri
1687984,S. Navathe
2285062486,Morgan Kaufmann
2292167,Jinlong Ru
2421793161,Peng Li
48094297,Jinan Wang
145465219,W. Zhou
2643537,Bohui Li
101467742,Chao Huang
2803104,Pidong Li
3229613,Zihu Guo
46998520,W. Tao
2018725161,Yinfeng Yang
2112692646,Xue Xu
47003172,Yan Li
2136936996,Yonghua Wang
2146415566,Ling Yang
3195519,B. Ding
145647476,S. Chaudhuri
143614516,J. Gehrke
1765803,Vivek R. Narasayya
144463965,A. Sheth
1705151,M. Tamer Özsu
144255847,P. Valduriez
35030780,E. Foster
35396082,S. Godbole
47443282,A. Sharma
2778906,F. Schuhknecht
47519490,D. Agrawal
1794108,J. Dittrich
7456408,Supreeth Shastri
113008533,Vinay Banakar
35752445,Melissa Wasserman
30512587,Arun C. S. Kumar
2002462,Vijay Chidambaram
2257176604,Gottfried Vossen
1712275,B. Bhargava
46249201,Alexander van Renen
1787012,Viktor Leis
144122431,A. Kemper
143993045,Thomas Neumann
2100355,T. Hashida
2635880,Kazuichi Oe
2134943,Y. Doi
145029921,L. Harada
2109356605,Mitsuru Sato
1708337,Franz Färber
144014124,P. Larson
2386988,Justin J. Levandoski
1774210,Andrew Pavlo
2254232,D. Abadi
145963370,Jose M. Faleiro
51022882,Philippos Papaphilippou
144708627,W. Luk
2261352681,J. Pan
2261394689,Jianguo Wang
2261575540,Guoliang Li
1693149,B. Desai
1780150,Felix Gessert
1751665,Wolfram Wingerath
2112571995,Steffen Friedrich
144929258,N. Ritter
2928835,M. Abdelguerfi
1784988,Kam-Fai Wong
144447527,C. J. Date
1398574232,H. Garcia-Molina
1742391,J. Ullman
1737896,J. Widom
2026596,Xiaosong Wang
2256805957,Yifan Peng
50706692,Le Lu
2237807642,Zhiyong Lu
3774191,M. Bagheri
2257812443,Ronald M. Summers
1787654,M. Gilson
2110006108,Tiqing Liu
1736223,M. Baitaluk
144810364,G. Nicola
46923641,Linda Hwang
47656499,J. Chong
34869678,Tobias Mühlbauer
1693757,K. Panetta
2848677,Arash Samani
2115846924,Xin Yuan
11938896,Qianwen Wan
8973902,S. Agaian
143961802,Srijith Rajeev
52194344,Shreyas Kamath
32255635,Rahul Rajendran
145983446,S. P. Rao
52185389,Aleksandra Kaszowska
143776381,H. Taylor
3168698,Erfan Zamanian
2370779839,Carsten Binnig
49643216,Abdallah Salama
144082682,A. Varga
2426897,H. Steeneken
