conferenceId,name
conference::acm sigplan symposium on principles & practice of parallel programming,ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming
conference::usenix conference on file and storage technologies,USENIX Conference on File and Storage Technologies
"conference::2018 17th ieee international conference on trust, security and privacy in computing and communications/ 12th ieee international conference on big data science and engineering (trustcom/bigdatase)","2018 17th IEEE International Conference On Trust, Security And Privacy In Computing And Communications/ 12th IEEE International Conference On Big Data Science And Engineering (TrustCom/BigDataSE)"
conference::international conference on data science in cyberspace,International Conference on Data Science in Cyberspace
conference::international conference on conceptual structures,International Conference on Conceptual Structures
conference::ieee international conference on data engineering,IEEE International Conference on Data Engineering
conference::proceedings / international conference on data engineering,Proceedings / International Conference on Data Engineering
conference::international symposium on information theory,International Symposium on Information Theory
conference::conference on empirical methods in natural language processing,Conference on Empirical Methods in Natural Language Processing
conference::symposium on the theory of computing,Symposium on the Theory of Computing
conference::ieee international conference on computer vision,IEEE International Conference on Computer Vision
"conference::ieee international conference on acoustics, speech, and signal processing","IEEE International Conference on Acoustics, Speech, and Signal Processing"
conference::aaai conference on artificial intelligence,AAAI Conference on Artificial Intelligence
conference::annual conference computational learning theory,Annual Conference Computational Learning Theory
conference::ieee annual symposium on foundations of computer science,IEEE Annual Symposium on Foundations of Computer Science
conference::conference on computational natural language learning,Conference on Computational Natural Language Learning
conference::european conference on computer vision,European Conference on Computer Vision
conference::conference of the european chapter of the association for computational linguistics,Conference of the European Chapter of the Association for Computational Linguistics
conference::international conference on computational linguistics,International Conference on Computational Linguistics
conference::2014 ieee conference on computer vision and pattern recognition,2014 IEEE Conference on Computer Vision and Pattern Recognition
conference::international conference on computational logic,International Conference on Computational Logic
conference::2012 ieee conference on computer vision and pattern recognition,2012 IEEE Conference on Computer Vision and Pattern Recognition
conference::conference on machine translation,Conference on Machine Translation
conference::international conference on frontiers in handwriting recognition,International Conference on Frontiers in Handwriting Recognition
"conference::2001 ieee international conference on acoustics, speech, and signal processing. proceedings (cat. no.01ch37221)","2001 IEEE International Conference on Acoustics, Speech, and Signal Processing. Proceedings (Cat. No.01CH37221)"
conference::international conference on computational semantics,International Conference on Computational Semantics
conference::2010 ieee computer society conference on computer vision and pattern recognition,2010 IEEE Computer Society Conference on Computer Vision and Pattern Recognition
conference::british machine vision conference,British Machine Vision Conference
conference::acm conference on recommender systems,ACM Conference on Recommender Systems
conference::2013 ieee conference on computer vision and pattern recognition,2013 IEEE Conference on Computer Vision and Pattern Recognition
conference::applied natural language processing conference,Applied Natural Language Processing Conference
conference::international conference on machine learning,International Conference on Machine Learning
conference::european conference on machine learning,European Conference on Machine Learning
