journalId,name
journal::nucleic acids research,Nucleic Acids Research
journal::journal of cheminformatics,Journal of Cheminformatics
journal::proceedings of the vldb endowment,Proceedings of the VLDB Endowment
journal::acm computing surveys,ACM Computing Surveys
journal::lecture notes in computer science,Lecture Notes in Computer Science
journal::ieee transactions on knowledge and data engineering,IEEE Transactions on Knowledge and Data Engineering
journal::found. trends databases,Found. Trends Databases
journal::communications of the acm,Communications of the ACM
journal::the vldb journal,The VLDB journal
journal::computer science - research and development,Computer Science - Research and Development
journal::computer vision and pattern recognition,Computer Vision and Pattern Recognition
journal::nucleic acids res.,Nucleic Acids Res.
journal::apress,Apress
journal::ieee transactions on pattern analysis and machine intelligence,IEEE Transactions on Pattern Analysis and Machine Intelligence
journal::speech communication,Speech Communication
journal::cacm,CACM
journal::vision,Vision
journal::international journal of systematic and evolutionary microbiology,International Journal of Systematic and Evolutionary Microbiology
journal::database j. biol. databases curation,Database J. Biol. Databases Curation
journal::nature food,Nature Food
journal::trans. large scale data knowl. centered syst.,Trans. Large Scale Data Knowl. Centered Syst.
journal::csur,CSUR
journal::encyclopedia of database systems,Encyclopedia of Database Systems
journal::tods,TODS
journal::principles of computer science series,Principles of computer science series
journal::topics in information systems,Topics in Information Systems
journal::advances in intelligent information and database systems,Advances in Intelligent Information and Database Systems
journal::sgmd,SGMD
journal::genome research,Genome Research
journal::scientific data,Scientific Data
journal::wiley encyclopedia of computer science and engineering,Wiley Encyclopedia of Computer Science and Engineering
journal::annual meeting of the association for computational linguistics,Annual Meeting of the Association for Computational Linguistics
journal::arxiv.org,arXiv.org
journal::journal of machine learning research,Journal of machine learning research
journal::acm trans. comput. heal.,ACM Trans. Comput. Heal.
journal::information retrieval (boston),Information retrieval (Boston)
journal::nature reviews psychology,Nature Reviews Psychology
journal::natural language processing,Natural Language Processing
journal::artificial intelligence review,Artificial Intelligence Review
journal::ieee computational intelligence magazine,IEEE Computational Intelligence Magazine
journal::npj computational materials,npj Computational Materials
journal::science china technological sciences,Science China Technological Sciences
journal::language resources and evaluation,Language Resources and Evaluation
journal::ieee transactions on neural networks and learning systems,IEEE Transactions on Neural Networks and Learning Systems
journal::artificial intelligence,Artificial Intelligence
journal::journal of big data,Journal of Big Data
journal::safety,Safety
journal::automation in construction,Automation in Construction
journal::socialnlp@eacl,SocialNLP@EACL
journal::bionlp@acl,BioNLP@ACL
journal::frontiers artif. intell.,Frontiers Artif. Intell.
journal::comput. biol. medicine,Comput. Biol. Medicine
journal::transactions of the association for computational linguistics,Transactions of the Association for Computational Linguistics
journal::multimedia tools and applications,Multimedia tools and applications
journal::prentice hall series in artificial intelligence,Prentice Hall series in artificial intelligence
journal::nature communications,Nature Communications
journal::npj digital medicine,npj Digital Medicine
journal::nlposs,NLPOSS
journal::inf.,Inf.
journal::translational psychiatry,Translational Psychiatry
journal::natural language processing journal,Natural Language Processing Journal
journal::findings,Findings
