from,to
39979b949643db039b77d8229740c66597514aa9,volume::acm computing surveys::2024
182acc7a1c9a63cfdef9f86ee9df43fd75e05060,volume::science::2022
d41053bdfe8ba13924d3ae03f372b06e66343437,volume::biorxiv::2023
10ef65b38efce54e0d6b575a895859ebd4ab678c,volume::advances in materials::2023
7c8bd41e9cebdb01f445a51ba43839c8d9b3ab91,volume::acs nano::2022
86dbd884043eb5807c61d2c65b813e673b4a04fa,volume::ieee transactions on industrial informatics::2022
56714bc43a5c254d9bb31262802987053c94f47b,volume::ieee transactions on dependable and secure computing::2022
24ab4e99e582c9770281eee0a39cbeb70ddd891a,volume::foundations and trends in communications and information theory::2022
ac4d11f3e5762aa84373f465ed807324c526161c,volume::mit case studies in social and ethical responsibilities of computing::2022
eccad1576e6c67b2c93a5cb8d384d038fbb161d6,volume::nature communications::2021
287a7da1801a07cf7fd85ffcc23c79504876ecc0,volume::national science review::2021
b80e2af7ffa85fe2f02ea8390e4915d55c19d199,volume::applied sciences::2021
b904dcdbd7c7b33938583f2f57d05ca70e121ea9,volume::big data and cognitive computing::2022
10a69070c8585dc5564b11b0e53dbe4d565f9ce1,volume::nature communications::2021
6544259ff6b335b1dcec75e031b6d57e5b9509f4,volume::science advances::2021
82663577cf1d08235bb56ad648c9dad36343ccfb,volume::science advances::2021
10d89b13a6309a531c35701d37d3bd76a27a3942,volume::new horizons for a data-driven economy::2021
fc61c7221350806c25379f385c27b2102ff8eb57,volume::nucleic acids research::2021
1e1cf81a1113482be3f0c280db994a832cb9426a,volume::ieee transactions on industrial informatics::2020
079b57837221413bf99ab40999c77c29e280e0c2,volume::light: science & applications::2021
3f43bcb910df8c1a76de79057a63195e6c6bc258,volume::communications materials::2020
a84da48f5eb57cc3f74fd2885f4e5ffd9b5ba2fa,volume::nature communications::2021
18fff2d1ef494f2726b93d2f8a119b874f2e3d1d,volume::nature communications::2020
f7b69b8babfa607f2e8b0371f24cb720a7a827d6,volume::ieee transactions on services computing::2019
18d87bff073687c025f9bd23ab2dfb20d5f72a66,volume::ieee transactions on industrial informatics::2020
11be2469ab1d1c508e7b6e14148990741ba87884,volume::nano letters (print)::2020
9bbcb01e7a6bc28ef6e2cda8ffe1ac8fb86def47,volume::laser & photonics reviews::2020
facd5f5deb152229ceb1803434d8690a09ab4129,volume::scientific reports::2019
27e58c9e5e6d07809a45a17675a2c7135b577881,volume::journal of network and computer applications::2019
b9b639522465cc606df878eee62e7f9c4bf19e62,volume::nature communications::2019
64c4c6cb66457c79f89ba4f2529b57bfce19ced4,volume::opto-electronic advances::2020
14dd50979af27bd2574c8068db11d27028b56afd,volume::small structures::2020
3adb779bb37d22e3aa299364c2a337603801ca5c,volume::advances in materials::2020
a81ba6a07bf7a2ecff871e3362a77404501d0927,volume::nature chemical biology::2020
8fcbd1cd1ee2211bd183b986900042470ee7f440,volume::mathematical biosciences and engineering : mbe::2019
df1a2539afbad27c4c80115a6f8f59a089024865,volume::nature communications::2019
c5d3fbc024ad9a0d28669b6030de23fc5c3f7888,volume::nature communications::2019
647c4a9331e01e31a4350361d3460f0397fe694f,volume::light: science & applications::2019
310b3a6902174e8f15e6c4e8511386efe612bc36,volume::journal of big data::2019
147c868b721c8d29df7c61db7f2360114c760614,volume::nano letters (print)::2019
4bd3c9e1bb1ca2df62b66201616b8740300efd0a,volume::transactions on emerging telecommunications technologies::2020
aad2d03c17bc7d1e636d0e79944ad4588af989d5,volume::nanoscale::2020
3ec9404cf3b8be85348b8145973328ce62698f7c,volume::information sciences::2018
1986318d8a565fbff8fde545b8d0c2012c6462d8,volume::ieee communications letters::2019
11c3154d709c74dbbe702e7f7c46a37224f9cc36,volume::ieee transactions on industrial informatics::2018
8972572efff8926616de5b719bf3cf4e6515a689,volume::computer communications::2020
4895c430c7810b45840b58cc9182f12143013a43,volume::nanomaterials::2019
742747c7a453b293352b772d0d99541c96a351c3,volume::ieee transactions on big data::2019
8ec529b9b6d10c4fcc2ff4c7c8dc67e0713b5c8d,volume::materials today::2018
399f524be265b524336576658a3cce34324adbd4,volume::biorxiv::2019
286c7c61fbe92e933cc2711fbb7d17dc297fa2b0,volume::mobile information systems::2018
79e32a69edbb6cafe61ed9977aec3a1672fde644,volume::scientific reports::2018
ee33bbe1ec73aaf61b0430dc9e30e0acfcce301e,volume::nature communications::2018
ee96d4f9b3f98f7f1df19c7de441b05e0892021e,volume::scientific reports::2018
9fb20560a81d376b33d425c970a7f87ae2cbcc79,volume::acm computing surveys::2018
f89b6873e639eb4c316187ffeca8c5094c017eba,volume::ieee transactions on big data::2018
d7f36dcf831a59c8bebe85fdf437fbcf2769be45,volume::inf.::2018
ffcc204e2f80495fb4a5920e9fafa0d923ff9a94,volume::future generations computer systems::2017
42972908a35c278badc2e1eaff59686979261285,volume::future generations computer systems::2018
809578d333ba3e54db1def738986ba3ce4af41f4,volume::optics express::2018
bc1a0450c3c6a8f534cd4c6b5cead841922d601e,volume::ieee transactions on information theory::2017
9f9b19b9d8eaa86437f2bf69f3c3d2b684e1c450,volume::scientific reports::2016
8735ab3ca5c0d299276b9042f475cc9c10869e4c,volume::scientific reports::2016
96f20779771c81109f6b07ab8faff33b13c68d9b,volume::ieee access::2020
2d57f5be0f829cdd3633ba28433bd2e3149db8e5,volume::ieee transactions on knowledge and data engineering::2023
1fa4936fb06319c3f4536c26a447d5507c92bd48,volume::ieee transactions on vehicular technology::2019
d9c6b474fb2f303391b50c9fd59a5f2ce4becc0b,volume::semantic web::2018
2478f43de2f1fcd9301a81e9b42d86b1d46db02d,volume::astronomical journal::2019
a992c8fd24587f12d41f48df84b29d847634c0e4,volume::biorxiv::2014
ae27c78d63e56c2b7610bd94fd704fa1b5dcdd29,volume::journal of king saud university: computer and information sciences::2017
0c4070272fb7d6b98971a107b022ff8abf0aa55e,volume::genome biology::2016
647d0e540627c5a903299a90d20530f8e48c18d9,volume::biodata mining::2016
a0ee7dabda55a207f6b5ab0ba45da5c236f5248a,volume::ieee trans. parallel distributed syst.::2003
523f8eaa544e9faa80973cc9599e0f50b6d57ce8,volume::science::2016
b8a0a9fd069348261ea4983f9182c90b5340fc95,volume::scientific reports::2015
65221bf088daf4020f3391c5d68aeb011de04fd2,volume::nature communications::2019
4f1d983fdb4f0712d5d5ea06ac75368716de8582,volume::nature methods::2014
5330247d3bf4908ceb9711e5baa5a60f0c34d135,volume::nucleic acids research::2010
a5133ffd70b88f4999335667a3014d88e383353c,volume::nature communications::2020
b5b9e9706cd582348b6ca39964dea07e9a9c3bf3,volume::nature communications::2020
f9019ca301dc620a06545431c618f1c26f61eefb,volume::biorxiv::2019
3404438368f3f1e4b5146d11b853a9896f18cca2,volume::national science review::2020
1cb5a362b1743f899c9b7cf1efff6a52de31955e,volume::advanced functional materials::2019
e4338188d4859847ad1c3b162044c435ba0385b4,volume::plos one::2006
8c77c718563b5e823feac3a4e0b843c75457f5fd,volume::genome biology::2013
42375e9a309fe5bf5c671c918cd8c9d5d85568cc,volume::nature communications::2020
bb1118fb9fd86da6a2f65770353d8fb4362d9883,volume::small methods::2021
4783c5e23cf16b6500857a732c17be984c0b7909,volume::chemical communications::2020
