topicId,name
topic::medicine,Medicine
topic::biology,Biology
topic::computer science,Computer Science
topic::engineering,Engineering
topic::business,Business
topic::chemistry,Chemistry
topic::linguistics,Linguistics
topic::environmental science,Environmental Science
topic::agricultural and food sciences,Agricultural and Food Sciences
topic::mathematics,Mathematics
topic::geography,Geography
topic::geology,Geology
topic::philosophy,Philosophy
topic::psychology,Psychology
topic::materials science,Materials Science
topic::law,Law
topic::sociology,Sociology
topic::physics,Physics
topic::economics,Economics
topic::education,Education
topic::political science,Political Science
topic::history,History
topic::art,Art
