from,to,corresponding
2250493632,4d58a9c27ec699909cdf4456cd48cedfcfc69636,true
3222501,4d58a9c27ec699909cdf4456cd48cedfcfc69636,false
46657535,4d58a9c27ec699909cdf4456cd48cedfcfc69636,false
2326291163,4d58a9c27ec699909cdf4456cd48cedfcfc69636,false
2007599656,4d58a9c27ec699909cdf4456cd48cedfcfc69636,false
1687989,82524ddee00fa0895dfca43995a7ec8bdb16f0d5,true
1687984,82524ddee00fa0895dfca43995a7ec8bdb16f0d5,false
2285062486,761020759f7e9f84c3ac77f59a42862cc6a6004e,true
2292167,3b073a5e7de5513705a7e2a7b1c88d3acbeed82c,true
2421793161,3b073a5e7de5513705a7e2a7b1c88d3acbeed82c,false
48094297,3b073a5e7de5513705a7e2a7b1c88d3acbeed82c,false
145465219,3b073a5e7de5513705a7e2a7b1c88d3acbeed82c,false
2643537,3b073a5e7de5513705a7e2a7b1c88d3acbeed82c,false
101467742,3b073a5e7de5513705a7e2a7b1c88d3acbeed82c,false
2803104,3b073a5e7de5513705a7e2a7b1c88d3acbeed82c,false
3229613,3b073a5e7de5513705a7e2a7b1c88d3acbeed82c,false
46998520,3b073a5e7de5513705a7e2a7b1c88d3acbeed82c,false
2018725161,3b073a5e7de5513705a7e2a7b1c88d3acbeed82c,false
2112692646,3b073a5e7de5513705a7e2a7b1c88d3acbeed82c,false
47003172,3b073a5e7de5513705a7e2a7b1c88d3acbeed82c,false
2136936996,3b073a5e7de5513705a7e2a7b1c88d3acbeed82c,false
2146415566,3b073a5e7de5513705a7e2a7b1c88d3acbeed82c,false
3195519,f7c80757f55a3fab0ea848508e6dedd1b7d5cf69,true
145647476,f7c80757f55a3fab0ea848508e6dedd1b7d5cf69,false
143614516,f7c80757f55a3fab0ea848508e6dedd1b7d5cf69,false
1765803,f7c80757f55a3fab0ea848508e6dedd1b7d5cf69,false
144463965,222725a0c360b059c827afe5567e3c3561bd25e8,true
1705151,07b58c8bb6b9084fba84d464f5324b7933720665,true
144255847,07b58c8bb6b9084fba84d464f5324b7933720665,false
35030780,de01730d67f931c3cf482a6472a60c8c31e23c6b,true
35396082,de01730d67f931c3cf482a6472a60c8c31e23c6b,false
47443282,c8a717f1ec7cfc38a98a1950b4df2f63eb7f8447,true
2778906,c8a717f1ec7cfc38a98a1950b4df2f63eb7f8447,false
47519490,c8a717f1ec7cfc38a98a1950b4df2f63eb7f8447,false
1794108,c8a717f1ec7cfc38a98a1950b4df2f63eb7f8447,false
7456408,db61597051110987e22dde656c5234c87cfbb717,true
113008533,db61597051110987e22dde656c5234c87cfbb717,false
35752445,db61597051110987e22dde656c5234c87cfbb717,false
30512587,db61597051110987e22dde656c5234c87cfbb717,false
2002462,db61597051110987e22dde656c5234c87cfbb717,false
2257176604,88b2de23332fd203fcd2cd123fb5b4ab1ef32b4a,true
1712275,c7f862c1f60f5794cb3b1b786a7a30ca25153643,true
46249201,8e051d8957573ddd91b8a2cd9fe5362c94750258,true
1787012,8e051d8957573ddd91b8a2cd9fe5362c94750258,false
144122431,8e051d8957573ddd91b8a2cd9fe5362c94750258,false
143993045,8e051d8957573ddd91b8a2cd9fe5362c94750258,false
2100355,8e051d8957573ddd91b8a2cd9fe5362c94750258,false
2635880,8e051d8957573ddd91b8a2cd9fe5362c94750258,false
2134943,8e051d8957573ddd91b8a2cd9fe5362c94750258,false
145029921,8e051d8957573ddd91b8a2cd9fe5362c94750258,false
2109356605,8e051d8957573ddd91b8a2cd9fe5362c94750258,false
1708337,0814f7f89053d328c7dfb5073cbcb301da3ed0f5,true
144122431,0814f7f89053d328c7dfb5073cbcb301da3ed0f5,false
144014124,0814f7f89053d328c7dfb5073cbcb301da3ed0f5,false
2386988,0814f7f89053d328c7dfb5073cbcb301da3ed0f5,false
143993045,0814f7f89053d328c7dfb5073cbcb301da3ed0f5,false
1774210,0814f7f89053d328c7dfb5073cbcb301da3ed0f5,false
2254232,6cfa708a2f4a8a3ed3316b4912934541722d9305,true
145963370,6cfa708a2f4a8a3ed3316b4912934541722d9305,false
51022882,42de705792690350e6bd4eb9d9bb6bfcecebc34b,true
